City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
rikitea,PF,-23.1203,-134.9692,79.32,71,17,11.88,1613528677
qaanaaq,GL,77.484,-69.3632,-6.79,86,94,6.24,1613528677
anadyr,RU,64.75,177.4833,-13.36,86,0,6.53,1613528677
yellowknife,CA,62.456,-114.3525,-18.0,76,75,5.75,1613528678
hasaki,JP,35.7333,140.8333,54.0,37,40,18.41,1613528678
punta arenas,CL,-53.15,-70.9167,52.84,70,47,11.36,1613528651
bredasdorp,ZA,-34.5322,20.0403,60.8,88,21,4.61,1613528678
hithadhoo,MV,-0.6,73.0833,81.46,71,100,2.48,1613528678
luderitz,NA,-26.6481,15.1594,63.61,72,0,5.39,1613528590
xichang,CN,27.8964,102.2634,44.35,74,100,4.61,1613528678
portland,US,45.5234,-122.6762,45.0,75,75,6.91,1613528679
albany,US,42.6001,-73.9662,26.6,74,90,17.27,1613528679
mount isa,AU,-20.7333,139.5,86.0,58,40,16.11,1613528679
atuona,PF,-9.8,-139.0333,79.32,79,3,15.21,1613528679
barrow,US,71.2906,-156.7887,-14.8,76,40,9.22,1613528679
edea,CM,3.8,10.1333,80.6,100,75,0.51,1613528679
burnie,AU,-41.0667,145.9167,66.87,64,10,11.63,1613528679
nikolskoye,RU,59.7035,30.7861,10.4,79,75,8.95,1613528679
ambilobe,MG,-13.2,49.05,74.46,94,31,2.15,1613528538
busselton,AU,-33.65,115.3333,73.38,59,0,8.86,1613528679
bilibino,RU,68.0546,166.4372,-6.47,80,0,2.04,1613528680
hilo,US,19.7297,-155.09,78.8,61,90,11.5,1613527994
hermanus,ZA,-34.4187,19.2345,64.0,81,2,5.01,1613528680
montevideo,UY,-34.8335,-56.1674,68.0,94,75,4.61,1613528502
acapulco,MX,16.8634,-99.8901,75.2,73,75,8.05,1613528680
aklavik,CA,68.2191,-135.0107,-20.2,69,100,4.61,1613528680
komsomolskiy,UZ,40.4272,71.7189,35.6,60,0,9.22,1613528680
avarua,CK,-21.2078,-159.775,84.2,70,16,6.91,1613528680
buala,SB,-8.145,159.5921,84.6,74,85,2.26,1613528680
jamestown,US,42.097,-79.2353,16.0,92,90,8.05,1613528394
talnakh,RU,69.4865,88.3972,-17.75,81,100,2.28,1613528681
bara,NG,10.3744,10.7288,68.11,21,0,10.74,1613528681
rio gallegos,AR,-51.6226,-69.2181,57.2,51,0,5.75,1613528487
